sigma,Won_real,Woff_real,WminGap_real,gapmin_real,coverage_real,n_bands_real,Won_jitter,Woff_jitter,WminGap_jitter,gapmin_jitter,coverage_jitter,n_bands_jitter,alpha
80.0,7000.0,8500.0,9000.0,0.003992854465649565,0.15789473684210525,2,7000.0,9000.0,9000.0,0.01738329628683477,0.21052631578947367,2,0.35
85.0,6000.0,10000.0,8000.0,0.03904101879195321,0.2631578947368421,3,6000.0,10000.0,9000.0,0.031723863869502544,0.3684210526315789,3,0.35
90.0,7000.0,10000.0,8500.0,0.0007582330266950876,0.21052631578947367,3,6500.0,10000.0,6500.0,0.044139045635169794,0.15789473684210525,3,0.35
95.0,7000.0,8000.0,8000.0,0.17133158754263444,0.10526315789473684,2,7000.0,9000.0,7500.0,0.10777567779367025,0.15789473684210525,2,0.35
100.0,7000.0,9500.0,7000.0,0.025095409387088097,0.15789473684210525,3,8500.0,8500.0,9000.0,0.0654130080096973,0.05263157894736842,1,0.35
105.0,7000.0,9500.0,9000.0,0.11530583573594555,0.15789473684210525,2,6500.0,9500.0,8500.0,0.014086261173608783,0.21052631578947367,2,0.35
110.0,7000.0,8500.0,8500.0,0.023202718701389458,0.10526315789473684,2,7000.0,8500.0,8500.0,0.00838499036790763,0.10526315789473684,2,0.35
115.0,7000.0,9500.0,9000.0,0.001133659190038827,0.21052631578947367,2,9000.0,9500.0,9500.0,0.08478517637484728,0.10526315789473684,1,0.35
120.0,7000.0,7000.0,7000.0,0.29108950004206324,0.05263157894736842,1,7000.0,7000.0,6500.0,0.038417602655414385,0.05263157894736842,1,0.35
125.0,7500.0,10000.0,7500.0,0.03501113390531607,0.21052631578947367,3,7000.0,9000.0,9000.0,0.005594685997428073,0.15789473684210525,3,0.35
130.0,7000.0,10000.0,9000.0,0.09645202099218686,0.21052631578947367,3,9000.0,9500.0,9000.0,0.1338516513476069,0.10526315789473684,1,0.35
135.0,7500.0,9000.0,9000.0,0.23493002959907194,0.10526315789473684,2,7500.0,9000.0,8500.0,0.05106156088346836,0.21052631578947367,1,0.35
140.0,9000.0,9500.0,9500.0,0.11218298706290675,0.10526315789473684,1,7500.0,10000.0,9500.0,2.6657315564726503e-05,0.2631578947368421,2,0.35
480.0,nan,nan,10000.0,0.31474296439489,0.0,0,8000.0,8000.0,8000.0,0.20399688464057597,0.05263157894736842,1,0.35
485.0,8000.0,10000.0,8000.0,0.037758238247839415,0.10526315789473684,2,10000.0,10000.0,10000.0,0.03765561839476472,0.05263157894736842,1,0.35
490.0,8000.0,10000.0,8000.0,0.0636164319118353,0.15789473684210525,2,8000.0,9500.0,9500.0,0.017483018244831783,0.10526315789473684,2,0.35
495.0,7500.0,9500.0,7500.0,0.05065005646163101,0.10526315789473684,2,9500.0,9500.0,9500.0,0.00013381777628573843,0.05263157894736842,1,0.35
500.0,9500.0,10000.0,9500.0,0.06574368647610918,0.10526315789473684,1,nan,nan,6500.0,0.8799311006356128,0.0,0,0.35
505.0,8500.0,8500.0,8500.0,0.035822290880340724,0.05263157894736842,1,7500.0,9500.0,7500.0,0.06933837521983754,0.15789473684210525,2,0.35
510.0,8000.0,9500.0,8000.0,0.005455733285264053,0.15789473684210525,2,nan,nan,9500.0,0.4585439218502687,0.0,0,0.35
515.0,7000.0,7000.0,7000.0,0.16368107559332312,0.05263157894736842,1,7500.0,10000.0,8500.0,0.007778799918550128,0.10526315789473684,2,0.35
520.0,nan,nan,7500.0,0.3974799648387144,0.0,0,8500.0,10000.0,9000.0,0.07186667675583269,0.15789473684210525,2,0.35
