sigma,Won_real,Woff_real,WminGap_real,gapmin_real,coverage_real,n_bands_real,Won_jitter,Woff_jitter,WminGap_jitter,gapmin_jitter,coverage_jitter,n_bands_jitter,alpha
80.0,9000.0,9000.0,9000.0,0.060698814556584324,0.05263157894736842,1,7000.0,9000.0,9000.0,0.032760114679915464,0.15789473684210525,3,0.35
85.0,8000.0,10000.0,8500.0,0.012740392552082369,0.21052631578947367,2,8000.0,10000.0,10000.0,0.021397009716763282,0.21052631578947367,2,0.35
90.0,7000.0,10000.0,7000.0,0.0202878250234928,0.15789473684210525,3,7000.0,10000.0,10000.0,0.0808140488300566,0.15789473684210525,3,0.35
95.0,6500.0,8000.0,7000.0,0.21179015565034653,0.15789473684210525,2,7000.0,8000.0,7500.0,0.05853488099253212,0.15789473684210525,1,0.35
100.0,7000.0,9500.0,8500.0,0.0008490653214248134,0.15789473684210525,3,8500.0,8500.0,8500.0,0.17763370312075288,0.05263157894736842,1,0.35
105.0,7000.0,9000.0,7000.0,0.06775714134835376,0.10526315789473684,2,6500.0,9000.0,9000.0,0.0006347874390435493,0.15789473684210525,2,0.35
110.0,7000.0,8500.0,8500.0,0.016118629171542942,0.10526315789473684,2,7000.0,8500.0,8500.0,0.041007658725872975,0.10526315789473684,2,0.35
115.0,9000.0,9500.0,9000.0,0.07597581909968021,0.10526315789473684,1,9500.0,9500.0,9500.0,0.1333530002558927,0.05263157894736842,1,0.35
120.0,6500.0,6500.0,6500.0,0.21550144046684494,0.05263157894736842,1,7000.0,8500.0,8500.0,0.03904804064564793,0.10526315789473684,2,0.35
125.0,7500.0,10000.0,9000.0,0.01785732719124633,0.21052631578947367,3,9000.0,9000.0,9000.0,0.009232040107298278,0.05263157894736842,1,0.35
130.0,7000.0,7500.0,7500.0,0.005404749625062877,0.10526315789473684,1,9000.0,9000.0,9000.0,0.018869482324399556,0.05263157894736842,1,0.35
135.0,7500.0,7500.0,7500.0,0.2950487878353343,0.05263157894736842,1,7500.0,9000.0,9000.0,0.1991846675496447,0.10526315789473684,2,0.35
140.0,7500.0,10000.0,10000.0,0.11146469931083747,0.10526315789473684,2,7500.0,10000.0,10000.0,0.012642672802040344,0.21052631578947367,3,0.35
480.0,9500.0,10000.0,9500.0,0.023267615472120085,0.10526315789473684,1,9500.0,9500.0,9500.0,0.2711167096400118,0.05263157894736842,1,0.35
485.0,8000.0,10000.0,10000.0,0.0354478359749093,0.10526315789473684,2,10000.0,10000.0,10000.0,0.04835371397233246,0.05263157894736842,1,0.35
490.0,8500.0,8500.0,8500.0,0.15107808547073187,0.05263157894736842,1,8000.0,8000.0,8000.0,0.11198500360149843,0.05263157894736842,1,0.35
495.0,7500.0,9500.0,7500.0,0.06488575458189416,0.21052631578947367,2,8500.0,9500.0,9500.0,0.009904344897921469,0.15789473684210525,1,0.35
500.0,nan,nan,10000.0,0.36979912057224595,0.0,0,nan,nan,9000.0,2.6832236271897614,0.0,0,0.35
505.0,8500.0,9000.0,8500.0,0.03609830108401191,0.10526315789473684,1,8000.0,9000.0,8500.0,0.07482741981110763,0.15789473684210525,1,0.35
510.0,8000.0,8000.0,8000.0,0.07408543215333552,0.05263157894736842,1,9500.0,9500.0,9500.0,0.16253873648576356,0.05263157894736842,1,0.35
515.0,nan,nan,8000.0,0.4271518340205631,0.0,0,7500.0,10000.0,10000.0,0.07778303273953568,0.10526315789473684,2,0.35
520.0,nan,nan,8500.0,0.37605986082437504,0.0,0,9000.0,10000.0,9000.0,0.07061054324807259,0.10526315789473684,2,0.35
